year,fire counts,Fatalities,Injuries
1966, 30 436,  164,  978
1967, 32 956,  127,  966
1968, 32 922,  154, 1 026
1969, 43 733,  167, 1 106
1970, 51 835,  142, 1 168
1971, 42 593,  150,  933
1972, 48 159,  138, 1 083
1973, 49 142,  139, 1 072
1974, 46 047,  179, 1 121
1975, 51 539,  177,  842
1976, 63 524,  135,  986
1977, 44 221,  132, 1 044
1978, 44 136,  129, 1 091
1979, 52 331,  151, 1 246
1980, 46 645,  196,  958
1981, 44 331,  185, 1 087
1982, 45 215,  167, 1 089
1983, 50 549,  164, 1 333
1984, 51 076,  125, 1 210
1985, 50 326,  154, 1 521
1986, 46 070,  124, 1 557
1987, 43 268,  193, 1 482
1988, 47 733,  146, 1 501
1989, 56 893,  133, 1 621
1990, 55 994,  121, 1 521
1991, 44 184,  104, 1 457
1992, 41 638,  120, 1 489
1993, 46 543,  82, 1 378
1994, 47 693,  86, 1 511
1995, 55 962,  83, 1 177
1996, 51 959,  79, 1 611
1997, 47 678,  96, 1 718
1998, 41 071,  80, 1 753
1999, 46 455,  78, 1 651
2000, 48 554,  59, 1 369
2001, 55 063,  81, 1 392
2002, 48 544,  78, 1 346
2003, 58 233,  86, 1 298
2004, 40 883,  52, 1 193
2005, 40 441,  60, 1 306
2006, 37 113,  56, 1 515
2007, 33 084,  51, 1 469
2008, 29 653,  41, 1 271
2009, 29 591,  55, 1 236
2010, 27 467,  59, 1 239
2011, 26 847,  55, 1 227
2012, 21 443,  42, 1 153
2013, 21 158,  49, 1 054
2014, 19 622,  29,  972
2015, 20 923,  33,  984
2016, 20 391,  46,  889
2017, 19 863,  102, 1 036
2018, 19 675,  45,  858
2019, 17 993,  36,  791
2020, 17 411,  30,  694
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
