DateOfCall,FirstPumpArriving_AttendanceTime
01/01/2017,318.2945736
02/01/2017,315.7809524
03/01/2017,313.916
04/01/2017,313.4072581
05/01/2017,314.513308
06/01/2017,331
07/01/2017,308.516129
08/01/2017,300.5517241
09/01/2017,322.8525346
10/01/2017,317.7941176
11/01/2017,291.7922705
12/01/2017,305.7488789
13/01/2017,309.5900901
14/01/2017,311.7561983
15/01/2017,295.5565611
16/01/2017,298.6186441
17/01/2017,315.2509363
18/01/2017,316.043956
19/01/2017,318.6962025
20/01/2017,340.6356877
21/01/2017,325.569395
22/01/2017,307.1800643
23/01/2017,335.5324232
24/01/2017,371.7916667
25/01/2017,330.5198413
26/01/2017,323.4922481
27/01/2017,332.5568182
28/01/2017,326.4268293
29/01/2017,293.4568966
30/01/2017,316.3230088
31/01/2017,313.2361111
01/02/2017,322.7312253
02/02/2017,317.1422414
03/02/2017,325.347032
04/02/2017,288.6844444
05/02/2017,296.1629956
06/02/2017,292.4722222
07/02/2017,315.4058577
08/02/2017,342.9473684
09/02/2017,300.8396624
10/02/2017,315.8870968
11/02/2017,312.7201493
12/02/2017,295.8904762
13/02/2017,311.9236641
14/02/2017,294.3760331
15/02/2017,323.3380282
16/02/2017,329.7647059
17/02/2017,317.8435115
18/02/2017,313.6434109
19/02/2017,296.8855932
20/02/2017,307.519802
21/02/2017,317.2248804
22/02/2017,325.8176796
23/02/2017,372.977551
24/02/2017,316.7683824
25/02/2017,322.8372093
26/02/2017,311.1191489
27/02/2017,318.3097345
28/02/2017,317.0490196
01/03/2017,330.0288462
02/03/2017,311.1965812
03/03/2017,337.3663793
04/03/2017,310.0237154
05/03/2017,320.6508621
06/03/2017,303.3035714
07/03/2017,305.2974138
08/03/2017,303.6216216
09/03/2017,309.963964
10/03/2017,307.0844444
11/03/2017,317.1
12/03/2017,292.5390625
13/03/2017,318.6810345
14/03/2017,331.5910931
15/03/2017,333.0442478
16/03/2017,312.4349593
17/03/2017,323.8458333
18/03/2017,296.187234
19/03/2017,300.3390558
20/03/2017,313.8248848
21/03/2017,310.6261261
22/03/2017,317.4784689
23/03/2017,318.9399142
24/03/2017,309.0336134
25/03/2017,317
26/03/2017,305.6061947
27/03/2017,318.1984127
28/03/2017,312.2389706
29/03/2017,314.6614786
30/03/2017,315.2250923
31/03/2017,309.0175439
01/04/2017,294.7628866
02/04/2017,331.611336
03/04/2017,331.6287879
04/04/2017,318.6886447
05/04/2017,314.9475655
06/04/2017,328.6923077
07/04/2017,305.4469453
08/04/2017,312.1262799
09/04/2017,308.9420732
10/04/2017,326.0465116
11/04/2017,305.3356401
12/04/2017,320.4237918
13/04/2017,331.5148148
14/04/2017,307.7698413
15/04/2017,301.7751678
16/04/2017,301.8244898
17/04/2017,289.9958678
18/04/2017,305.2481752
19/04/2017,327.6790541
20/04/2017,323.6421405
21/04/2017,307.6968504
22/04/2017,328.6848249
23/04/2017,302.8111888
24/04/2017,322.9704641
25/04/2017,309.4460432
26/04/2017,313.8315412
27/04/2017,317.6867925
28/04/2017,313.8157895
29/04/2017,299.7956989
30/04/2017,312.3550725
01/05/2017,300.2871287
02/05/2017,296.7148594
03/05/2017,318.1973684
04/05/2017,307.6309013
05/05/2017,302.3790614
06/05/2017,312.6508621
07/05/2017,319.7158672
08/05/2017,316.7843866
09/05/2017,295.6359833
10/05/2017,330.4265233
11/05/2017,307.2
12/05/2017,318.7804878
13/05/2017,315.5418327
14/05/2017,305.6928839
15/05/2017,308.7532468
16/05/2017,323.4554795
17/05/2017,311.2781457
18/05/2017,314.0627306
19/05/2017,312.5
20/05/2017,299.8423077
21/05/2017,286.2037037
22/05/2017,298.1363636
23/05/2017,299.4580153
24/05/2017,316.2070175
25/05/2017,331.4232082
