Borough code,Borough name,Ward Code,Ward name,Population,Density,65+_age,Deprivation,HR_buildings,Heritage,local_concerns,Student,crime,Over_crowding,No_central_heat,older_alone,Disability,Smokers,Fire_casualties,1st_pump_attendance,one_pump_attendance_adjust,2nd_pump_attendance,two_pump_attendance_adjust,3rd_pump_attendance,three_pump_attendance_adjust,HFSV,FSR_Inspection,Visual_audit
E09000002,Barking and Dagenham,E05000026,Abbey,15050,11731,704,66,13,8,30,2700,2352,253,185,209,405,1999,0,5:28,328,6:07,367,7:27,447,225,36,113
E09000002,Barking and Dagenham,E05000027,Alibon,11250,8245,1028,63,0,0,5,2650,883,74,92,402,625,1498,2,5:37,337,6:44,404,8:15,495,67,1,39
E09000002,Barking and Dagenham,E05000028,Becontree,15050,11684,1216,64,7,0,11,3150,1326,98,136,426,595,1884,2,6:24,384,6:56,416,9:00,540,103,18,37
E09000002,Barking and Dagenham,E05000029,Chadwell Heath,11000,3250,1556,67,2,10,11,2300,890,39,107,584,520,1421,2,6:43,403,7:39,459,6:36,396,199,15,42
E09000002,Barking and Dagenham,E05000030,Eastbrook,11050,3202,1512,64,2,6,15,2150,805,35,79,484,475,1542,5,5:02,302,5:43,343,9:03,543,156,11,44
E09000002,Barking and Dagenham,E05000031,Eastbury,12300,8546,1150,68,4,5,16,2600,1133,112,140,414,515,1697,0,5:19,319,6:41,401,6:49,409,85,8,53
E09000002,Barking and Dagenham,E05000032,Gascoigne,14600,12821,760,77,16,2,26,3750,1111,175,132,347,465,1621,1,4:37,277,5:39,339,7:41,461,136,20,122
E09000002,Barking and Dagenham,E05000033,Goresbrook,12450,9743,1290,66,0,0,5,3050,935,77,132,427,625,1629,2,6:38,398,7:12,432,11:14,674,93,10,28
E09000002,Barking and Dagenham,E05000034,Heath,11950,5971,1421,88,5,2,12,2700,1004,68,96,626,605,1527,8,4:00,240,5:34,334,8:38,518,253,11,44
E09000002,Barking and Dagenham,E05000035,Longbridge,12250,7446,1377,40,1,1,10,2400,740,123,71,441,395,1671,1,6:00,360,7:06,426,7:57,477,95,6,50
E09000002,Barking and Dagenham,E05000036,Mayesbrook,11350,6114,997,69,0,0,8,2800,835,98,100,473,590,1438,0,6:03,363,6:41,401,9:40,580,109,5,34
E09000002,Barking and Dagenham,E05000037,Parsloes,10500,8442,1099,59,0,0,3,2350,635,55,102,455,605,1409,1,5:41,341,6:28,388,8:19,499,92,6,21
E09000002,Barking and Dagenham,E05000038,River,11950,3372,1187,65,0,1,5,2800,1165,92,145,346,540,1557,2,6:17,377,7:05,425,8:19,499,69,8,21
E09000002,Barking and Dagenham,E05000039,Thames,14550,1844,767,70,4,0,45,3450,1759,109,91,295,515,1793,0,5:41,341,6:48,408,10:24,624,158,36,91
E09000002,Barking and Dagenham,E05000040,Valence,11600,8973,1166,64,1,3,9,2700,837,58,107,514,685,1499,3,5:11,311,6:17,377,6:53,413,184,8,34
E09000002,Barking and Dagenham,E05000041,Village,11400,5308,1309,73,5,5,7,2200,1064,63,174,468,550,1539,4,5:47,347,7:08,428,9:10,550,238,4,34
E09000002,Barking and Dagenham,E05000042,Whalebone,12100,7786,1322,48,1,5,9,2450,876,72,143,436,385,1547,0,5:06,306,6:02,362,11:11,671,85,30,40
E09000003,Barnet,E05000043,Brunswick Park,16850,5307,2848,60,0,8,9,3100,963,49,90,616,585,1986,0,5:32,332,7:59,479,7:59,479,67,3,41
